effect,contrast,checkpoint,epsilon,metric,n_seeds,mean_diff,median_diff,sd_diff,min_diff,max_diff,n_positive,n_negative,per_seed
adaptive,V11-V10,last,0.015,val_pgd_auroc,2,0.012570394207562341,0.012570394207562341,0.0047767497988736585,0.0077936444086886825,0.017347144006436,2,0,42:+0.0078;43:+0.0173
adaptive,V11-V10,last,0.015,val_sel_recall,2,0.011363636363636354,0.011363636363636354,0.03409090909090906,-0.022727272727272707,0.045454545454545414,1,1,42:-0.0227;43:+0.0455
adaptive,V11-V10,last,0.015,test_pgd_cohens_d,2,-0.04356905558068713,-0.04356905558068713,0.1224657929006232,-0.16603484848131034,0.07889673731993607,1,1,42:+0.0789;43:-0.1660
adaptive,V11-V10,last,0.015,test_clean_recall_at_tau,2,0.011111111111111127,0.011111111111111127,0.011111111111111127,0.0,0.022222222222222254,1,0,42:+0.0000;43:+0.0222
adaptive,V11-V10,last,0.015,test_pgd_argmax_acc7,2,0.01899999999999999,0.01899999999999999,0.016999999999999987,0.0020000000000000018,0.035999999999999976,2,0,42:+0.0020;43:+0.0360
floor,V10-V00,last,0.03,test_pgd_pauroc_far020,2,0.010989010989010936,0.010989010989010936,0.017094017094017186,-0.00610500610500625,0.028083028083028122,1,1,42:+0.0281;43:-0.0061
floor,V10-V00,last,0.03,test_pgd_auroc,2,0.0010500610500610574,0.0010500610500610574,0.011843711843711857,-0.0107936507936508,0.012893772893772915,1,1,42:+0.0129;43:-0.0108
floor,V10-V00,last,0.03,test_recall,2,-0.0777777777777778,-0.0777777777777778,0.05555555555555555,-0.13333333333333336,-0.022222222222222254,0,2,42:-0.1333;43:-0.0222
floor,V10-V00,last,0.03,test_FAR,2,-0.01978021978021978,-0.01978021978021978,0.004395604395604394,-0.024175824175824173,-0.015384615384615385,0,2,42:-0.0242;43:-0.0154
floor,V10-V00,last,0.03,val_pgd_pauroc_far020,2,-0.02320494770716,-0.02320494770716,0.005053298471440065,-0.028258246178600066,-0.018151649235719935,0,2,42:-0.0182;43:-0.0283
floor,V10-V00,last,0.03,val_pgd_auroc,2,-0.013224054706355626,-0.013224054706355626,0.010961383748994413,-0.02418543845535004,-0.0022626709573612125,0,2,42:-0.0023;43:-0.0242
floor,V10-V00,last,0.03,val_sel_recall,2,-0.06818181818181815,-0.06818181818181815,2.7755575615628914e-17,-0.06818181818181818,-0.06818181818181812,0,2,42:-0.0682;43:-0.0682
floor,V10-V00,last,0.03,test_pgd_cohens_d,2,0.10195685231802576,0.10195685231802576,0.0606702590561522,0.04128659326187356,0.16262711137417796,2,0,42:+0.0413;43:+0.1626
floor,V10-V00,last,0.03,test_clean_recall_at_tau,2,-0.055555555555555636,-0.055555555555555636,0.011111111111111127,-0.06666666666666676,-0.04444444444444451,0,2,42:-0.0444;43:-0.0667
floor,V10-V00,last,0.03,test_pgd_argmax_acc7,2,-0.02600000000000001,-0.02600000000000001,0.009999999999999995,-0.036000000000000004,-0.016000000000000014,0,2,42:-0.0160;43:-0.0360
floor,V11-V01,last,0.03,test_pgd_pauroc_far020,2,0.08412698412698408,0.08412698412698408,0.004273504273504342,0.07985347985347974,0.08840048840048842,2,0,42:+0.0799;43:+0.0884
floor,V11-V01,last,0.03,test_pgd_auroc,2,0.03548229548229548,0.03548229548229548,0.0026617826617826856,0.03282051282051279,0.038144078144078164,2,0,42:+0.0328;43:+0.0381
floor,V11-V01,last,0.03,test_recall,2,0.1,0.1,0.05555555555555555,0.04444444444444445,0.15555555555555556,2,0,42:+0.0444;43:+0.1556
floor,V11-V01,last,0.03,test_FAR,2,-0.004395604395604394,-0.004395604395604394,0.010989010989010992,-0.015384615384615385,0.006593406593406598,1,1,42:+0.0066;43:-0.0154
floor,V11-V01,last,0.03,val_pgd_pauroc_far020,2,0.04035096540627511,0.04035096540627511,0.00369569589702326,0.03665526950925185,0.04404666130329837,2,0,42:+0.0367;43:+0.0440
floor,V11-V01,last,0.03,val_pgd_auroc,2,0.02315466613032985,0.02315466613032985,0.002840909090909116,0.020313757039420732,0.025995575221238965,2,0,42:+0.0203;43:+0.0260
floor,V11-V01,last,0.03,val_sel_recall,2,0.0681818181818182,0.0681818181818182,2.7755575615628914e-17,0.06818181818181818,0.06818181818181823,2,0,42:+0.0682;43:+0.0682
floor,V11-V01,last,0.03,test_pgd_cohens_d,2,0.13840634319488399,0.13840634319488399,0.0149150898716498,0.12349125332323418,0.15332143306653379,2,0,42:+0.1533;43:+0.1235
floor,V11-V01,last,0.03,test_clean_recall_at_tau,2,0.07777777777777783,0.07777777777777783,0.011111111111111072,0.06666666666666676,0.0888888888888889,2,0,42:+0.0889;43:+0.0667
floor,V11-V01,last,0.03,test_pgd_argmax_acc7,2,-0.04999999999999999,-0.04999999999999999,0.0020000000000000018,-0.05199999999999999,-0.04799999999999999,0,2,42:-0.0480;43:-0.0520
adaptive,V01-V00,last,0.03,test_pgd_pauroc_far020,2,0.000488400488400445,0.000488400488400445,0.011477411477411367,-0.010989010989010922,0.011965811965811812,1,1,42:-0.0110;43:+0.0120
adaptive,V01-V00,last,0.03,test_pgd_auroc,2,-0.003736263736263734,-0.003736263736263734,0.00031746031746032743,-0.0040537240537240615,-0.0034188034188034067,0,2,42:-0.0034;43:-0.0041
adaptive,V01-V00,last,0.03,test_recall,2,-0.06666666666666668,-0.06666666666666668,0.022222222222222227,-0.0888888888888889,-0.04444444444444445,0,2,42:-0.0444;43:-0.0889
adaptive,V01-V00,last,0.03,test_FAR,2,-0.013186813186813182,-0.013186813186813182,0.002197802197802204,-0.015384615384615385,-0.010989010989010978,0,2,42:-0.0154;43:-0.0110
adaptive,V01-V00,last,0.03,val_pgd_pauroc_far020,2,0.027026347546259127,0.027026347546259127,0.006511464199517397,0.02051488334674173,0.033537811745776525,2,0,42:+0.0205;43:+0.0335
adaptive,V01-V00,last,0.03,val_pgd_auroc,2,-0.0023380933226065936,-0.0023380933226065936,0.0014330249396621308,-0.0037711182622687245,-0.0009050683829444628,0,2,42:-0.0009;43:-0.0038
adaptive,V01-V00,last,0.03,val_sel_recall,2,-0.022727272727272707,-0.022727272727272707,0.0,-0.022727272727272707,-0.022727272727272707,0,2,42:-0.0227;43:-0.0227
adaptive,V01-V00,last,0.03,test_pgd_cohens_d,2,0.07871051313001332,0.07871051313001332,0.08690532460738176,-0.008194811477368447,0.16561583773739508,1,1,42:-0.0082;43:+0.1656
adaptive,V01-V00,last,0.03,test_clean_recall_at_tau,2,-0.07777777777777783,-0.07777777777777783,0.011111111111111072,-0.0888888888888889,-0.06666666666666676,0,2,42:-0.0889;43:-0.0667
adaptive,V01-V00,last,0.03,test_pgd_argmax_acc7,2,-0.0050000000000000044,-0.0050000000000000044,0.013000000000000012,-0.018000000000000016,0.008000000000000007,1,1,42:+0.0080;43:-0.0180
adaptive,V11-V10,last,0.03,test_pgd_pauroc_far020,2,0.07362637362637359,0.07362637362637359,0.032844932844932895,0.04078144078144069,0.10647130647130648,2,0,42:+0.0408;43:+0.1065
adaptive,V11-V10,last,0.03,test_pgd_auroc,2,0.030695970695970687,0.030695970695970687,0.014188034188034215,0.01650793650793647,0.0448840048840049,2,0,42:+0.0165;43:+0.0449
