path,kind,sha256,size_bytes,generator_script,link_method,evidence_level,evidence_provenance,split,claim_boundary,overleaf_ready,overleaf_blockers,committed
results/cross_architecture/gru/gru_seed42_legacy_eval_per_class_metrics.csv,csv,9b30246cc19a035b05117517265b4f2e3f339500c6b933ade1ed5e5baae71a96,334,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_legacy_eval_predictions.csv,csv,2e654907bf8ffefde01ce89c33d2f24750aa174e62be013d3a2cd96c5fcebc70,35971,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_legacy_eval_summary_metrics.csv,csv,62de8d13f3c4640bb40556b27a63e89bb24033da820865a617f11cdf333632f7,296,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_metadata.json,metadata,7fa4a77bdf5096b500e53d46b404abf5842db7387f2cad80299e52cf6dbe5115,3012,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_per_class_metrics.csv,csv,76f041352bb5e460797429747079be1cc73246c525140ab7165690669b774637,333,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_pgd_epsilon_sweep_legacy.csv,csv,86a75b5bfff71da6f5e512b5036bdd6b5e093005cc484085029c4f18ad8ddd12,2641,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_pgd_epsilon_sweep_test.csv,csv,2bf2446cab53780aa7d33696746110a53e25724b5002db6d4ef4c25e6275ea08,2581,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_pgd_predictions_legacy_epsilon_0_03.csv,predictions,83f0eff764f3a512dcff6c0d82507e806ec726b3bbfd7fb39de8f3d1c470822f,80452,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_pgd_predictions_test_epsilon_0_03.csv,predictions,a72f67c55969a4102de5875f3ced4341887ac73575cec132f9a9b7ae462a1af9,40488,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_pgd_safety_metrics_legacy_epsilon_0_03.csv,csv,81a93f9af70f7cc94e5ff2db078874621169c144c39a91317166ca7de4cb112d,481,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
